end station id,end station latitude,end station longitude,end station name,count
3101,40.72079821,-73.95484712,N 12 St & Bedford Ave,2148
3102,40.72179134,-73.95041540000001,Driggs Ave & Lorimer St,1501
3105,40.724055,-73.955736,N 15 St & Wythe Ave,752
3106,40.72325,-73.94308000000001,Driggs Ave & N Henry St,1578
3107,40.72311651,-73.95212324,Bedford Ave & Nassau Ave,3064
3108,40.725570000000005,-73.94434,Nassau Ave & Russell St,1788
3109,40.72606,-73.95621,Banker St & Meserole Ave,1233
3110,40.72708584,-73.95299117,Meserole Ave & Manhattan Ave,1967
3112,40.72906,-73.95779,Milton St & Franklin St,3498
3113,40.730259999999994,-73.95394,Greenpoint Ave & Manhattan Ave,1857
3115,40.73232194,-73.9550858,India St & Manhattan Ave,2054
3116,40.732659999999996,-73.95826,Huron St & Franklin St,2138
3117,40.735640000000004,-73.95866,Franklin St & Dupont St,2266
3118,40.73555,-73.95284000000001,McGuinness Blvd & Eagle St,1771
3119,40.74232744,-73.95411749,Vernon Blvd & 50 Ave,1732
3121,40.74524768,-73.94733276,Jackson Ave & 46 Rd,727
3122,40.74436328706688,-73.95587325096129,48 Ave & 5 St,740
3123,40.74469738,-73.93540375,31 St & Thomson Ave,656
3124,40.74731,-73.95451,46 Ave & 5 St,2306
3125,40.74708586,-73.94977234,45 Rd & 11 St,1506
3126,40.74718234,-73.9432635,44 Dr & Jackson Ave,1836
3127,40.74966,-73.9521,9 St & 44 Rd,483
3128,40.75052534,-73.94594845,21 St & 43 Ave,339
3129,40.75110165,-73.94073717,Queens Plaza North & Crescent St,4160
3130,40.75325964,-73.94335788,21 St & Queens Plaza North,919
3131,40.76712840349542,-73.96224617958069,E 68 St & 3 Ave,764
3132,40.76350532,-73.97109243,E 59 St & Madison Ave,3211
3134,40.76312584,-73.96526895,3 Ave & E 62 St,3374
3135,40.77112927,-73.95772297,E 75 St & 3 Ave,2332
3136,40.766368,-73.971518,5 Ave & E 63 St,3631
3137,40.77282817,-73.96685276,5 Ave & E 73 St,6641
3139,40.77118287540658,-73.96409422159195,E 72 St & Park Ave,2233
3140,40.77140426,-73.9535166,1 Ave & E 78 St,6609
3141,40.76500525,-73.95818491,1 Ave & E 68 St,11914
3142,40.761227399999996,-73.96094022,1 Ave & E 62 St,6704
3143,40.77632142182271,-73.96427392959596,5 Ave & E 78 St,4261
3144,40.77677702,-73.95900970000001,E 81 St & Park Ave,1332
3145,40.77862688,-73.95772073,E 84 St & Park Ave,2189
3146,40.77573034,-73.9567526,E 81 St & 3 Ave,2183
3147,40.77801203,-73.95407149,E 85 St & 3 Ave,5669
3148,40.77565541,-73.95068615,E 84 St & 1 Ave,4211
3150,40.77536905,-73.94803392,E 85 St & York Ave,2244
3151,40.7728384,-73.94989233,E 81 St & York Ave,2952
3152,40.76873687,-73.96119945,3 Ave & E 71 St,2152
3154,40.77314236,-73.95856158,E 77 St & 3 Ave,2670
3156,40.76663814,-73.95348296,E 72 St & York Ave,4937
3157,40.77518615,-73.94446054,East End Ave & E 86 St,1770
3158,40.77163851,-73.98261428,W 63 St & Broadway,4634
3159,40.77492513,-73.98266566,W 67 St & Broadway,3536
3160,40.77896784,-73.97374737,Central Park West & W 76 St,3774
3161,40.7801839724239,-73.97728532552719,W 76 St & Columbus Ave,2837
3163,40.7734066,-73.97782542,Central Park West & W 68 St,6196
3164,40.7770575,-73.97898475,Columbus Ave & W 72 St,6756
3165,40.77579376683666,-73.97620573639871,Central Park West & W 72 St,6911
